iter	Passed	Remaining
0	57	57218
1	57	28776
2	58	19301
3	58	14560
4	58	11716
5	59	9821
6	59	8464
7	60	7447
8	60	6661
9	60	6029
10	61	5514
11	61	5098
12	62	4735
13	62	4421
14	63	4146
15	63	3910
16	63	3699
17	64	3514
18	64	3347
19	65	3194
20	65	3057
21	65	2932
22	66	2817
23	66	2718
24	67	2623
25	67	2534
26	68	2452
27	68	2374
28	68	2302
29	69	2235
30	69	2173
31	69	2113
32	70	2059
33	70	2007
34	71	1960
35	71	1913
36	71	1869
37	72	1828
38	72	1788
39	72	1751
40	73	1715
41	73	1681
42	74	1648
43	74	1617
44	74	1587
45	75	1559
46	75	1532
47	76	1508
48	76	1490
49	77	1466
50	77	1442
51	77	1420
52	78	1398
53	78	1377
54	78	1357
55	79	1337
56	79	1318
57	80	1301
58	80	1283
59	80	1267
60	81	1257
61	82	1241
62	82	1225
63	82	1210
64	83	1196
65	83	1184
66	84	1171
67	84	1158
68	84	1145
69	85	1132
70	85	1120
71	85	1108
72	86	1096
73	86	1085
74	87	1075
75	87	1064
76	88	1057
77	88	1046
78	88	1036
79	89	1026
80	89	1017
81	90	1007
82	90	996
83	90	987
84	90	978
85	91	970
86	91	962
87	92	954
88	92	945
89	92	938
90	93	931
91	93	923
92	93	916
93	94	909
94	94	902
95	95	896
96	95	889
97	95	882
98	96	875
99	96	869
100	96	862
101	97	856
102	97	850
103	98	844
104	98	838
105	98	832
106	99	826
107	99	821
108	99	816
109	100	811
110	100	806
111	101	801
112	101	795
113	101	790
114	102	786
115	102	782
116	102	776
117	103	771
118	103	767
119	104	762
120	104	758
121	104	752
122	104	748
123	105	743
124	105	739
125	106	735
126	106	731
127	106	727
128	107	723
129	107	720
130	108	716
131	108	712
132	108	708
133	109	705
134	109	701
135	109	697
136	110	694
137	110	690
138	110	687
139	111	684
140	111	680
141	111	676
142	112	672
143	112	669
144	113	666
145	113	663
146	113	660
147	114	657
148	114	654
149	114	651
150	115	648
151	115	645
152	116	642
153	116	639
154	116	636
155	117	633
156	117	630
157	117	628
158	118	625
159	118	622
160	118	618
161	119	616
162	119	613
163	119	611
164	120	608
165	120	605
166	120	603
167	121	600
168	121	598
169	122	595
170	122	593
171	122	591
172	123	588
173	123	586
174	123	584
175	124	581
176	124	579
177	125	577
178	125	575
179	125	573
180	126	571
181	126	569
182	126	566
183	127	564
184	127	562
185	128	560
186	128	558
187	128	556
188	129	554
189	129	552
190	129	550
191	130	548
192	130	546
193	131	544
194	131	542
195	131	540
196	132	539
197	132	537
198	133	535
199	133	533
200	133	531
201	134	530
202	134	528
203	134	526
204	135	524
205	135	522
206	135	520
207	136	519
208	136	517
209	137	515
210	137	514
211	137	512
212	138	511
213	138	509
214	139	507
215	139	507
216	140	505
217	140	504
218	141	502
219	141	501
220	141	500
221	142	499
222	142	497
223	143	496
224	143	495
225	144	493
226	144	493
227	145	491
228	145	490
229	145	488
230	146	487
231	146	485
232	147	484
233	147	482
234	147	481
235	148	479
236	148	478
237	149	477
238	149	475
239	149	474
240	150	472
241	150	471
242	150	469
243	151	468
244	151	467
245	151	465
246	152	464
247	152	463
248	153	462
249	153	461
250	154	459
251	154	458
252	154	457
253	155	456
254	155	454
255	156	453
256	156	452
257	156	451
258	157	450
259	157	448
260	158	447
261	158	446
262	158	445
263	159	443
264	159	442
265	159	441
266	160	439
267	160	438
268	160	437
269	161	436
270	161	435
271	162	434
272	162	432
273	162	431
274	163	430
275	163	429
276	164	428
277	164	426
278	164	425
279	165	424
280	165	423
281	165	422
282	166	421
283	166	420
284	167	419
285	167	417
286	167	416
287	168	415
288	168	414
289	168	413
290	169	412
291	169	411
292	170	410
293	170	409
294	170	408
295	171	407
296	171	406
297	172	405
298	172	404
299	172	403
300	173	402
301	173	401
302	174	400
303	174	399
304	174	398
305	175	397
306	175	396
307	175	395
308	176	394
309	176	393
310	177	392
311	177	391
312	177	390
313	178	388
314	178	388
315	178	387
316	179	386
317	179	385
318	179	383
319	180	383
320	180	381
321	180	380
322	181	379
323	181	378
324	182	378
325	182	377
326	182	376
327	183	375
328	183	374
329	183	373
330	184	372
331	184	371
332	184	370
333	185	369
334	185	368
335	186	367
336	186	366
337	186	365
338	187	365
339	187	364
340	187	363
341	188	362
342	188	361
343	189	360
344	189	359
345	189	358
346	190	358
347	190	357
348	190	356
349	191	355
350	191	354
351	192	353
352	192	352
353	192	351
354	193	350
355	193	350
356	193	349
357	194	348
358	194	347
359	195	346
360	195	345
361	195	345
362	196	344
363	196	343
364	196	342
365	197	341
366	197	340
367	197	340
368	198	339
369	198	338
370	199	337
371	199	336
372	199	335
373	200	335
374	200	334
375	200	333
376	201	332
377	201	331
378	201	330
379	202	330
380	202	329
381	203	328
382	203	327
383	203	327
384	204	326
385	204	325
386	205	324
387	205	324
388	205	323
389	206	322
390	206	321
391	207	321
392	207	320
393	207	319
394	208	318
395	208	317
396	208	317
397	209	316
398	209	315
399	210	315
400	210	314
401	210	313
402	211	312
403	211	311
404	211	311
405	212	310
406	212	309
407	212	309
408	213	308
409	213	307
410	214	306
411	214	306
412	214	305
413	215	304
414	215	304
415	216	303
